104.19.181.51:2096#CF优选IP 13ms
104.18.116.228:2087#CF优选IP 170ms
104.18.155.130:2096#CF优选IP 170ms
104.17.108.178:2096#CF优选IP 170ms
104.19.246.45:443#CF优选IP 171ms
104.18.141.107:443#CF优选IP 171ms
104.20.28.204:2053#CF优选IP 171ms
172.67.76.135:2053#CF优选IP 171ms
104.17.72.37:2053#CF优选IP 171ms
104.18.95.197:2096#CF优选IP 171ms
104.17.243.82:443#CF优选IP 172ms
104.16.184.131:443#CF优选IP 172ms
104.17.56.117:2083#CF优选IP 172ms
104.16.159.64:443#CF优选IP 173ms
104.17.125.53:2053#CF优选IP 173ms
104.18.201.132:2087#CF优选IP 173ms
104.17.134.85:2053#CF优选IP 174ms
104.19.166.118:2053#CF优选IP 174ms
104.17.192.47:2083#CF优选IP 174ms
104.17.209.5:2096#CF优选IP 174ms
104.17.117.238:2053#CF优选IP 175ms
104.16.144.164:2087#CF优选IP 175ms
104.16.136.131:2087#CF优选IP 175ms
104.18.154.129:443#CF优选IP 176ms
104.17.137.86:443#CF优选IP 176ms
104.17.100.119:2096#CF优选IP 176ms
104.17.90.79:443#CF优选IP 177ms
104.19.146.9:2096#CF优选IP 177ms
104.16.39.109:443#CF优选IP 178ms
104.16.177.68:443#CF优选IP 178ms
104.19.239.209:443#CF优选IP 178ms
104.17.251.1:2087#CF优选IP 178ms
104.16.2.62:2087#CF优选IP 179ms
104.17.41.100:2087#CF优选IP 179ms
104.16.18.50:443#CF优选IP 180ms
104.19.223.30:2053#CF优选IP 180ms
104.21.237.109:2053#CF优选IP 180ms
104.18.181.65:2083#CF优选IP 180ms
104.18.212.115:2096#CF优选IP 180ms
104.16.70.34:443#CF优选IP 181ms
104.17.194.116:443#CF优选IP 181ms
104.17.4.65:2087#CF优选IP 181ms
104.19.187.121:2087#CF优选IP 181ms
104.18.251.56:2096#CF优选IP 181ms
104.16.72.110:443#CF优选IP 182ms
104.17.61.4:2053#CF优选IP 182ms
104.19.169.110:2053#CF优选IP 182ms
104.19.242.114:2096#CF优选IP 182ms
104.19.157.55:443#CF优选IP 183ms
104.18.126.29:2083#CF优选IP 183ms
104.18.46.211:2083#CF优选IP 184ms
104.20.7.69:2053#CF优选IP 185ms
104.16.74.81:2087#CF优选IP 185ms
104.19.211.56:2087#CF优选IP 185ms
104.17.249.168:443#CF优选IP 186ms
104.18.135.229:2053#CF优选IP 186ms
104.19.160.23:2053#CF优选IP 186ms
104.19.246.80:2087#CF优选IP 186ms
104.19.222.24:443#CF优选IP 188ms
162.159.206.90:443#CF优选IP 188ms
104.18.73.75:443#CF优选IP 188ms
104.16.255.113:2053#CF优选IP 188ms
104.16.214.241:2096#CF优选IP 188ms
104.17.50.22:2096#CF优选IP 188ms
104.19.175.94:443#CF优选IP 189ms
104.20.35.187:443#CF优选IP 189ms
104.18.164.197:2083#CF优选IP 189ms
172.66.133.12:443#CF优选IP 190ms
104.19.229.47:2083#CF优选IP 190ms
104.20.40.94:2087#CF优选IP 190ms
104.17.11.65:2087#CF优选IP 190ms
162.159.128.86:2096#CF优选IP 191ms
104.25.62.13:2087#CF优选IP 191ms
104.16.126.116:443#CF优选IP 192ms
104.16.248.96:443#CF优选IP 192ms
104.20.14.240:2083#CF优选IP 192ms
104.17.41.108:2087#CF优选IP 192ms
104.16.210.106:2087#CF优选IP 192ms
104.16.13.22:2096#CF优选IP 192ms
104.16.176.229:2053#CF优选IP 193ms
104.16.151.166:2083#CF优选IP 193ms
104.16.91.116:2083#CF优选IP 193ms
104.17.88.81:443#CF优选IP 194ms
172.66.137.103:2083#CF优选IP 194ms
172.66.128.206:2096#CF优选IP 194ms
172.66.135.75:2096#CF优选IP 194ms
104.18.47.165:2087#CF优选IP 194ms
104.16.191.161:443#CF优选IP 195ms
104.17.92.48:443#CF优选IP 195ms
104.20.12.190:443#CF优选IP 195ms
104.19.159.175:2083#CF优选IP 195ms
104.17.29.65:2096#CF优选IP 195ms
172.66.130.187:443#CF优选IP 196ms
104.16.121.48:2083#CF优选IP 196ms
104.16.153.130:2087#CF优选IP 196ms
104.18.156.234:2087#CF优选IP 196ms
172.66.133.128:443#CF优选IP 197ms
172.66.137.191:2053#CF优选IP 197ms
104.16.110.26:2053#CF优选IP 197ms
104.19.192.175:2096#CF优选IP 197ms
104.18.235.24:2096#CF优选IP 197ms
104.16.55.119:2096#CF优选IP 197ms
104.18.56.90:443#CF优选IP 198ms
172.66.132.239:2083#CF优选IP 198ms
172.66.130.33:2083#CF优选IP 198ms
104.19.251.50:2087#CF优选IP 198ms
104.18.239.154:2096#CF优选IP 198ms
104.18.224.243:443#CF优选IP 199ms
172.66.133.36:443#CF优选IP 199ms
104.17.114.45:2053#CF优选IP 199ms
104.16.117.40:2096#CF优选IP 199ms
172.66.139.106:2083#CF优选IP 200ms
104.16.59.7:443#CF优选IP 201ms
104.17.79.215:2083#CF优选IP 201ms
104.17.168.101:2083#CF优选IP 201ms
104.16.177.104:443#CF优选IP 202ms
104.16.27.98:2053#CF优选IP 203ms
104.18.101.3:2083#CF优选IP 203ms
104.18.81.74:2083#CF优选IP 203ms
104.17.254.239:2083#CF优选IP 203ms
104.25.179.31:2083#CF优选IP 203ms
104.19.185.83:2087#CF优选IP 203ms
104.18.143.144:2087#CF优选IP 203ms
104.17.226.57:2096#CF优选IP 203ms
104.18.240.172:2053#CF优选IP 204ms
104.19.255.8:443#CF优选IP 205ms
104.16.18.96:2053#CF优选IP 205ms
104.16.122.11:2053#CF优选IP 205ms
104.17.177.107:2083#CF优选IP 205ms
104.17.244.121:2083#CF优选IP 205ms
104.16.98.32:2087#CF优选IP 205ms
104.17.224.109:2087#CF优选IP 205ms
104.17.93.80:2096#CF优选IP 205ms
104.17.247.7:443#CF优选IP 206ms
104.19.215.25:2083#CF优选IP 206ms
104.16.190.187:2087#CF优选IP 206ms
104.16.123.38:2087#CF优选IP 206ms
104.16.226.246:2087#CF优选IP 206ms
104.16.49.27:2087#CF优选IP 206ms
104.19.214.71:443#CF优选IP 207ms
104.18.138.15:2083#CF优选IP 207ms
104.17.166.120:2087#CF优选IP 207ms
104.19.157.36:2096#CF优选IP 207ms
104.17.133.74:2096#CF优选IP 207ms
104.17.19.2:443#CF优选IP 208ms
104.16.219.104:2087#CF优选IP 208ms
104.17.209.22:2083#CF优选IP 209ms
104.16.46.119:2087#CF优选IP 209ms
104.16.151.106:2096#CF优选IP 209ms
104.17.58.29:2087#CF优选IP 210ms
104.17.6.82:2087#CF优选IP 210ms
104.16.110.55:2096#CF优选IP 210ms
104.16.128.22:2096#CF优选IP 210ms
104.17.254.112:2096#CF优选IP 211ms
104.16.131.117:443#CF优选IP 212ms
104.17.13.99:2053#CF优选IP 212ms
104.17.156.8:2083#CF优选IP 212ms
104.16.224.28:2053#CF优选IP 213ms
104.19.172.93:2053#CF优选IP 213ms
104.16.124.6:2083#CF优选IP 213ms
104.16.181.101:2083#CF优选IP 214ms
104.16.177.241:2083#CF优选IP 215ms
104.19.145.44:2096#CF优选IP 215ms
104.16.176.148:443#CF优选IP 216ms
104.19.229.97:2083#CF优选IP 216ms
104.16.151.100:2083#CF优选IP 216ms
104.19.246.35:2087#CF优选IP 216ms
104.16.200.108:443#CF优选IP 217ms
104.16.113.35:2053#CF优选IP 217ms
104.17.112.232:2053#CF优选IP 217ms
104.16.11.75:2083#CF优选IP 217ms
104.16.88.105:2083#CF优选IP 217ms
104.16.193.130:2096#CF优选IP 217ms
104.16.37.61:2096#CF优选IP 217ms
104.17.11.107:2083#CF优选IP 218ms
104.16.37.31:2087#CF优选IP 227ms
104.16.37.31:2096#CF优选IP 218ms
104.17.66.104:2096#CF优选IP 218ms
104.19.161.3:443#CF优选IP 219ms
104.18.127.44:2096#CF优选IP 219ms
104.18.71.29:2096#CF优选IP 219ms
104.16.95.241:2096#CF优选IP 219ms
104.19.216.24:2053#CF优选IP 220ms
104.19.170.106:2096#CF优选IP 220ms
104.18.110.67:443#CF优选IP 221ms
104.17.43.7:443#CF优选IP 221ms
104.16.132.136:2053#CF优选IP 221ms
104.17.155.181:2083#CF优选IP 221ms
104.17.126.109:2087#CF优选IP 221ms
104.16.85.113:2096#CF优选IP 221ms
104.18.127.35:443#CF优选IP 222ms
104.18.244.98:443#CF优选IP 222ms
104.16.37.71:2087#CF优选IP 222ms
104.18.86.96:2087#CF优选IP 222ms
104.19.253.29:443#CF优选IP 223ms
104.17.48.141:2083#CF优选IP 223ms
104.16.100.61:2083#CF优选IP 223ms
104.16.107.36:2096#CF优选IP 224ms
104.17.177.88:443#CF优选IP 225ms
104.16.194.52:2083#CF优选IP 225ms
104.18.64.223:2083#CF优选IP 225ms
104.18.98.229:2087#CF优选IP 225ms
104.18.240.118:2087#CF优选IP 225ms
104.16.80.173:443#CF优选IP 226ms
104.18.195.229:2087#CF优选IP 226ms
104.17.159.231:443#CF优选IP 227ms
104.17.62.7:443#CF优选IP 227ms
104.16.216.93:443#CF优选IP 227ms
104.17.32.196:2053#CF优选IP 227ms
104.17.253.89:2053#CF优选IP 227ms
104.18.174.223:2053#CF优选IP 227ms
104.17.79.168:2083#CF优选IP 227ms
104.16.192.196:2053#CF优选IP 228ms
104.16.133.69:2096#CF优选IP 228ms
104.16.88.116:443#CF优选IP 229ms
104.19.212.1:443#CF优选IP 229ms
104.16.155.240:2087#CF优选IP 229ms
104.17.10.115:2087#CF优选IP 229ms
104.19.248.10:443#CF优选IP 230ms
104.16.125.68:443#CF优选IP 230ms
104.17.80.192:2083#CF优选IP 230ms
104.18.201.220:2083#CF优選IP 230ms
104.17.203.28:2087#CF优选IP 230ms
104.17.36.238:2096#CF优选IP 230ms
104.17.151.240:2053#CF优选IP 231ms
104.19.144.50:2087#CF优选IP 231ms
104.19.160.132:2087#CF优选IP 231ms
104.16.148.130:2083#CF优选IP 232ms
104.17.119.68:2087#CF优选IP 232ms
104.16.41.143:2096#CF优选IP 232ms
104.17.156.53:2053#CF优选IP 233ms
104.19.146.82:2087#CF优选IP 233ms
104.17.67.190:2053#CF优选IP 234ms
104.17.10.85:2083#CF优选IP 234ms
104.18.135.83:443#CF优选IP 235ms
104.16.98.25:443#CF优选IP 235ms
104.18.190.39:2053#CF优选IP 235ms
104.18.189.55:2053#CF优选IP 235ms
104.16.252.113:2087#CF优选IP 235ms
104.16.134.132:2096#CF优选IP 235ms
104.17.66.199:2053#CF优选IP 236ms
104.18.160.110:2083#CF优选IP 236ms
104.16.156.203:2096#CF优选IP 237ms
104.18.195.240:443#CF优选IP 238ms
104.17.79.118:2087#CF优选IP 239ms
104.18.255.198:2096#CF优选IP 239ms
104.17.89.30:443#CF优选IP 240ms
104.16.193.32:443#CF优选IP 241ms
104.16.249.244:443#CF优选IP 241ms
104.17.231.57:2053#CF优选IP 241ms
104.17.16.196:443#CF优选IP 242ms
104.17.231.239:2087#CF优选IP 242ms
104.18.79.188:2087#CF优选IP 242ms
104.16.39.7:2096#CF优选IP 242ms
104.18.156.167:2096#CF优选IP 242ms
104.16.130.85:2096#CF优选IP 242ms
104.17.239.151:2083#CF优选IP 245ms
104.18.121.42:2053#CF优选IP 247ms
104.18.138.7:443#CF优选IP 248ms
104.19.239.103:2083#CF优选IP 251ms
104.18.131.117:2083#CF优选IP 254ms
104.26.0.156:2083#CF优选IP 262ms
104.18.62.111:2083#CF优选IP 262ms
104.20.21.228:2087#CF优选IP 269ms
172.67.73.219:2087#CF优选IP 272ms
104.20.20.250:2053#CF优选IP 276ms
172.67.66.153:443#CF优选IP 290ms
104.16.146.199:2083#CF优选IP 305ms
104.18.177.8:2053#CF优选IP 318ms
104.16.185.189:2087#CF优选IP 319ms
104.16.71.168:2053#CF优选IP 324ms
104.19.172.186:2083#CF优选IP 324ms
104.18.88.251:2053#CF优选IP 330ms
104.18.122.198:443#CF优选IP 331ms
104.18.212.244:2053#CF优选IP 332ms
104.16.39.68:2053#CF优选IP 332ms
104.18.74.13:2083#CF优选IP 334ms
104.16.139.129:2053#CF优选IP 335ms
104.21.225.143:2087#CF优选IP 335ms
104.19.221.38:2053#CF优选IP 337ms
104.16.59.130:443#CF优选IP 338ms
104.17.250.9:2053#CF优选IP 340ms
104.16.105.0:2083#CF优选IP 341ms
104.18.212.48:443#CF优选IP 341ms
104.19.168.192:443#CF优选IP 341ms
104.18.227.167:2083#CF优选IP 342ms
104.18.73.210:2083#CF优选IP 342ms
104.19.244.111:443#CF优选IP 346ms
104.16.20.161:2087#CF优选IP 347ms
104.18.130.25:2083#CF优选IP 348ms
104.16.177.197:2096#CF优选IP 349ms
104.16.12.78:2096#CF优选IP 350ms
104.25.247.148:2087#CF优选IP 351ms
104.17.232.127:443#CF优选IP 351ms
104.19.241.117:2096#CF优选IP 352ms
104.19.35.42:2096#CF优选IP 353ms
104.16.22.177:443#CF优选IP 354ms
104.18.34.14:443#CF优选IP 354ms
104.17.100.205:2053#CF优选IP 354ms
104.17.245.164:2083#CF优选IP 354ms
104.24.244.177:443#CF优选IP 355ms
104.18.65.158:443#CF优选IP 355ms
104.25.77.52:2053#CF优选IP 355ms
104.18.238.177:2083#CF优选IP 355ms
172.66.207.234:2087#CF优选IP 355ms
104.18.125.167:443#CF优选IP 356ms
104.17.196.161:2053#CF优选IP 356ms
104.24.223.127:2087#CF优选IP 356ms
104.25.233.157:2087#CF优选IP 356ms
104.25.57.238:2096#CF优选IP 356ms
104.17.186.30:2083#CF优选IP 357ms
104.24.169.241:2083#CF优选IP 357ms
104.24.40.62:443#CF优选IP 358ms
104.25.251.215:443#CF优选IP 358ms
104.16.173.131:443#CF优选IP 358ms
104.25.194.79:2053#CF优选IP 358ms
104.16.0.88:2083#CF优选IP 358ms
162.159.12.198:2083#CF优选IP 358ms
104.18.36.246:2087#CF优选IP 358ms
172.66.0.119:2087#CF优选IP 358ms
162.159.46.150:2087#CF优选IP 358ms
104.17.76.169:2087#CF优选IP 358ms
104.24.251.72:2096#CF优选IP 358ms
104.18.47.116:443#CF优选IP 359ms
104.17.102.155:443#CF优选IP 359ms
104.20.38.144:443#CF优选IP 359ms
104.17.139.169:443#CF优选IP 359ms
172.64.147.44:443#CF优选IP 359ms
172.64.146.247:2053#CF优选IP 359ms
104.25.41.53:2053#CF优选IP 359ms
104.25.202.0:2053#CF优选IP 359ms
104.18.122.142:2083#CF优选IP 359ms
104.25.136.169:2083#CF优选IP 359ms
104.25.249.233:2083#CF优选IP 359ms
104.24.167.153:2083#CF优选IP 359ms
104.18.105.18:2087#CF优选IP 359ms
104.24.131.53:2087#CF优选IP 359ms
172.64.147.50:2096#CF优选IP 359ms
104.25.53.216:2053#CF优选IP 360ms
104.18.77.250:2083#CF优选IP 360ms
172.64.146.193:2083#CF优选IP 360ms
104.27.16.99:2083#CF优选IP 360ms
104.24.148.189:2087#CF优选IP 360ms
104.17.212.29:2087#CF优选IP 360ms
104.17.203.79:2096#CF优选IP 360ms
104.24.9.122:443#CF优选IP 362ms
104.17.211.92:443#CF优选IP 362ms
104.25.21.172:2053#CF优选IP 362ms
104.27.54.186:2053#CF优选IP 362ms
104.25.198.31:2053#CF优选IP 362ms
104.20.53.254:2053#CF优选IP 362ms
104.20.1.88:2083#CF优选IP 362ms
104.25.100.253:2083#CF优选IP 362ms
104.27.87.159:2083#CF优选IP 362ms
104.19.98.16:2083#CF优选IP 362ms
104.24.33.107:2096#CF优选IP 362ms
172.64.146.5:2096#CF优选IP 362ms
104.19.147.77:2096#CF优选IP 362ms
104.16.63.245:2096#CF优选IP 362ms
104.18.21.175:2096#CF优选IP 362ms
104.17.20.130:443#CF优选IP 363ms
104.21.227.233:443#CF优选IP 363ms
104.25.136.238:2053#CF优选IP 363ms
104.25.180.160:2053#CF优选IP 363ms
104.24.1.190:2083#CF优选IP 363ms
104.24.5.144:2083#CF优选IP 363ms
104.24.200.233:2083#CF优选IP 363ms
104.19.80.111:2087#CF优选IP 363ms
104.27.40.242:2087#CF优选IP 363ms
104.19.20.35:2087#CF优选IP 363ms
104.27.26.154:2087#CF优选IP 363ms
104.18.209.81:2087#CF优选IP 363ms
104.24.237.50:2087#CF优选IP 363ms
104.16.26.214:2087#CF优选IP 363ms
104.24.202.53:2096#CF优选IP 363ms
104.25.101.247:2096#CF优选IP 363ms
104.24.242.140:443#CF优选IP 364ms
104.24.201.239:443#CF优选IP 364ms
104.24.84.147:443#CF优选IP 364ms
104.25.20.126:443#CF优选IP 364ms
162.159.2.141:2053#CF优选IP 364ms
104.25.205.134:2053#CF优选IP 364ms
172.66.130.127:2053#CF优选IP 364ms
162.159.138.144:2083#CF优选IP 364ms
104.19.14.211:2087#CF优选IP 364ms
104.25.212.214:2087#CF优选IP 364ms
104.25.189.170:2087#CF优选IP 364ms
104.18.36.66:443#CF优选IP 365ms
104.19.35.138:443#CF优选IP 365ms
172.67.127.174:443#CF优选IP 365ms
104.24.59.240:443#CF优选IP 365ms
104.25.75.75:443#CF优选IP 365ms
104.25.59.85:443#CF优选IP 365ms
162.159.58.191:443#CF优选IP 365ms
104.25.30.220:443#CF优选IP 365ms
104.25.235.220:443#CF优选IP 365ms
172.64.146.129:443#CF优选IP 365ms
104.18.19.187:443#CF优选IP 365ms
104.18.44.224:2053#CF优选IP 365ms
104.24.208.195:2053#CF优选IP 365ms
104.19.84.159:2053#CF优选IP 365ms
104.24.157.255:2053#CF优选IP 365ms
104.24.52.158:2053#CF优选IP 365ms
104.25.98.38:2053#CF优选IP 365ms
172.66.154.221:2053#CF优选IP 365ms
172.67.106.21:2053#CF优选IP 365ms
162.159.7.166:2053#CF优选IP 365ms
104.24.158.218:2053#CF优选IP 365ms
104.19.26.180:2083#CF优选IP 365ms
104.25.99.254:2083#CF优选IP 365ms
172.64.147.94:2087#CF优选IP 365ms
104.24.167.186:2087#CF优选IP 365ms
104.27.58.143:443#CF优选IP 366ms
104.17.94.219:443#CF优选IP 366ms
104.18.238.184:443#CF优选IP 366ms
104.25.73.81:2053#CF优选IP 366ms
104.19.74.249:2053#CF优选IP 366ms
172.64.147.1:2083#CF优选IP 366ms
104.25.197.48:2083#CF优选IP 366ms
104.19.21.102:2083#CF优选IP 366ms
104.16.248.209:2083#CF优选IP 366ms
172.67.83.77:2083#CF优选IP 366ms
104.17.30.128:2087#CF优选IP 366ms
104.19.28.138:2087#CF优选IP 366ms
104.19.106.128:2087#CF优选IP 366ms
104.24.78.124:2087#CF优选IP 366ms
162.159.140.85:2087#CF优选IP 366ms
172.66.42.249:2096#CF优选IP 366ms
104.24.8.154:2096#CF优选IP 366ms
172.67.114.70:2096#CF优选IP 366ms
104.18.202.213:2096#CF优选IP 366ms
104.25.243.178:443#CF优选IP 367ms
104.27.45.230:443#CF优选IP 367ms
172.64.147.149:443#CF优选IP 367ms
104.24.246.236:443#CF优选IP 367ms
104.18.23.212:2053#CF优选IP 367ms
104.24.87.186:2053#CF优选IP 367ms
104.16.33.64:2053#CF优选IP 367ms
104.18.30.109:2053#CF优选IP 367ms
172.66.174.156:2053#CF优选IP 367ms
162.159.142.149:2053#CF优选IP 367ms
104.18.8.247:2053#CF优选IP 367ms
162.159.5.85:2083#CF优选IP 367ms
172.64.147.79:2083#CF优选IP 367ms
172.66.173.12:2083#CF优选IP 367ms
104.25.190.77:2083#CF优选IP 367ms
172.64.146.80:2083#CF优选IP 367ms
104.18.8.89:2083#CF优选IP 367ms
162.159.22.254:2083#CF优选IP 367ms
104.25.209.173:2087#CF优选IP 367ms
104.27.28.230:2087#CF优选IP 367ms
104.25.180.108:2087#CF优选IP 367ms
104.25.209.119:2087#CF优选IP 367ms
104.25.163.237:2087#CF优选IP 367ms
104.25.46.168:2087#CF优选IP 367ms
104.25.73.104:2096#CF优选IP 367ms
104.24.191.139:443#CF优选IP 368ms
104.25.139.61:443#CF优选IP 368ms
172.64.146.158:443#CF优选IP 368ms
104.19.14.245:443#CF优选IP 368ms
104.25.6.30:443#CF优选IP 368ms
172.64.146.8:443#CF优选IP 368ms
172.64.146.29:443#CF优选IP 368ms
172.64.146.144:443#CF优选IP 368ms
104.19.4.43:2053#CF优选IP 368ms
104.27.112.196:2053#CF优选IP 368ms
104.19.193.174:2053#CF优选IP 368ms
104.24.40.56:2053#CF优选IP 368ms
172.64.147.46:2053#CF优选IP 368ms
104.20.58.16:2083#CF优选IP 368ms
172.64.146.74:2083#CF优选IP 368ms
104.16.65.126:2083#CF优选IP 368ms
104.24.20.33:2083#CF优选IP 368ms
104.25.64.56:2083#CF优选IP 368ms
172.66.174.227:2083#CF优选IP 368ms
104.24.156.2:2083#CF优选IP 368ms
104.18.28.181:2083#CF优选IP 368ms
104.20.50.99:2083#CF优选IP 368ms
104.25.199.45:2083#CF优选IP 368ms
104.25.126.125:2083#CF优选IP 368ms
104.20.2.49:2087#CF优选IP 368ms
104.25.65.217:2087#CF优选IP 368ms
104.24.200.222:2096#CF优选IP 368ms
104.18.45.69:2096#CF优选IP 368ms
104.19.74.240:443#CF优选IP 369ms
104.25.156.1:443#CF优选IP 369ms
104.27.10.96:443#CF优选IP 369ms
104.27.90.26:443#CF优选IP 369ms
172.66.164.130:443#CF优选IP 369ms
104.19.155.208:443#CF优选IP 369ms
172.64.147.67:443#CF优选IP 369ms
104.17.212.164:443#CF优选IP 369ms
162.159.10.133:2053#CF优选IP 369ms
104.27.93.226:2053#CF优选IP 369ms
162.159.251.186:2053#CF优选IP 369ms
104.24.196.38:2083#CF优选IP 369ms
172.66.133.244:2083#CF优选IP 369ms
104.25.107.209:2083#CF优选IP 369ms
172.67.99.100:2083#CF优选IP 369ms
104.25.86.103:2083#CF优选IP 369ms
104.27.52.197:2083#CF优选IP 369ms
104.24.234.143:2083#CF优选IP 369ms
162.159.246.191:2083#CF优选IP 369ms
172.66.42.170:2087#CF优选IP 369ms
172.66.213.209:2087#CF优选IP 369ms
104.16.240.13:2087#CF优选IP 369ms
104.27.127.2:2096#CF优选IP 369ms
104.18.245.6:2096#CF优选IP 369ms
104.18.73.208:2096#CF优选IP 369ms
172.66.199.238:2096#CF优选IP 369ms
104.25.1.107:443#CF优选IP 370ms
104.24.234.106:443#CF优选IP 370ms
162.159.137.84:443#CF优选IP 370ms
104.25.223.74:443#CF优选IP 370ms
162.159.20.234:443#CF优选IP 370ms
104.19.87.74:443#CF优选IP 370ms
172.66.144.60:2053#CF优选IP 370ms
104.17.76.200:2053#CF优选IP 370ms
104.25.180.21:2053#CF优选IP 370ms
172.66.176.207:2053#CF优选IP 370ms
104.25.210.89:2053#CF优选IP 370ms
104.25.163.74:2053#CF优选IP 370ms
162.159.250.227:2053#CF优选IP 370ms
104.25.118.168:2053#CF优选IP 370ms
162.159.8.226:2053#CF优选IP 370ms
104.25.58.28:2083#CF优选IP 370ms
104.25.108.81:2083#CF优选IP 370ms
104.25.82.198:2083#CF优选IP 370ms
104.18.31.21:2083#CF优选IP 370ms
104.18.2.137:2087#CF优选IP 370ms
104.25.255.114:2087#CF优选IP 370ms
104.19.54.201:2087#CF优选IP 370ms
172.67.118.241:2087#CF优选IP 370ms
104.25.44.141:2087#CF优选IP 370ms
104.24.135.101:2087#CF优选IP 370ms
172.66.209.7:2087#CF优选IP 370ms
104.16.7.108:2087#CF优选IP 370ms
104.17.61.6:2087#CF优选IP 370ms
104.27.122.179:2096#CF优选IP 370ms
104.25.111.125:2096#CF优选IP 370ms
104.25.216.38:2096#CF优选IP 370ms
162.159.3.1:2096#CF优选IP 370ms
162.159.206.6:2096#CF优选IP 370ms
104.24.84.46:2096#CF优选IP 370ms
104.25.227.11:2096#CF优选IP 370ms
104.24.58.231:2096#CF优选IP 370ms
104.24.228.161:2096#CF优选IP 370ms
104.24.167.60:443#CF优选IP 371ms
172.66.140.242:443#CF优选IP 371ms
172.67.125.209:443#CF优选IP 371ms
104.24.249.35:443#CF优选IP 371ms
104.25.208.248:443#CF优选IP 371ms
104.20.11.186:443#CF优选IP 371ms
104.27.107.122:443#CF优选IP 371ms
104.24.159.186:443#CF优选IP 371ms
172.64.147.164:2053#CF优选IP 371ms
104.19.60.69:2053#CF优选IP 371ms
